Gene stable ID	Karyotype band	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC symbol
ENSG00000117036	q23.1	1	157121191	157138474	ETV3
ENSG00000253831	q23.1	1	157092043	157112412	ETV3L
ENSG00000132694	q23.1	1	156934840	157045370	ARHGEF11
ENSG00000160838	q23.1	1	156920632	156933094	LRRC71
ENSG00000187800	q23.1	1	156893698	156916434	PEAR1
ENSG00000198400	q23.1	1	156815640	156881850	NTRK1
ENSG00000027644	q23.1	1	156840063	156859117	INSRR
ENSG00000027869	q23.1	1	156806243	156816862	SH2D2A
ENSG00000143321	q23.1	1	156742109	156766925	HDGF
ENSG00000143294	q23.1	1	156750610	156800815	PRCC
ENSG00000143314	q23.1	1	156737303	156741590	MRPL24
ENSG00000143319	q23.1	1	156721891	156728799	ISG20L2
ENSG00000143303	q23.1	1	156728442	156736960	RRNAD1
ENSG00000143320	q23.1	1	156699606	156705816	CRABP2
ENSG00000132688	q23.1	1	156668763	156677407	NES
ENSG00000132692	q23.1	1	156641390	156659532	BCAN
ENSG00000132702	q23.1	1	156619331	156625725	HAPLN2
ENSG00000160818	q23.1	1	156594487	156601496	GPATCH4
ENSG00000163382	q22	1	156591762	156594299	NAXE
ENSG00000187862	q22	1	156579727	156586770	TTC24
ENSG00000183856	q22	1	156525405	156572604	IQGAP3
ENSG00000116604	q22	1	156463727	156500779	MEF2D
ENSG00000125462	q22	1	156404250	156456763	C1orf61
ENSG00000132677	q22	1	156369211	156385219	RHBG
ENSG00000163468	q22	1	156308968	156367873	CCT3
ENSG00000163467	q22	1	156337314	156346995	TSACC
ENSG00000159423	p36.13	1	18871430	18902724	ALDH4A1
ENSG00000189030	q22	1	156298624	156299299	VHLL
ENSG00000163472	q22	1	156282935	156293185	TMEM79
ENSG00000179002	p36.13	1	18839599	18859682	TAS1R2
ENSG00000198715	q22	1	156290089	156295689	GLMP
ENSG00000198952	q22	1	156249224	156282825	SMG5
ENSG00000126107	p34.1	1	45002540	45011324	HECTD3
ENSG00000160783	q22	1	156212993	156240042	PMF1
ENSG00000260238	q22	1	156212982	156243332	PMF1-BGLAP
ENSG00000126088	p34.1	1	45010950	45015575	UROD
ENSG00000160781	q22	1	156243320	156248117	PAQR6
ENSG00000242252	q22	1	156242184	156243317	BGLAP
ENSG00000168159	q42.13	1	228487382	228496188	RNF187
ENSG00000196890	q42.13	1	228458107	228460470	HIST3H2BB
ENSG00000181218	q42.13	1	228456979	228457873	HIST3H2A
ENSG00000169991	p36.13	1	18904280	18956676	IFFO2
ENSG00000127481	p36.13	1	19074510	19210266	UBR4
ENSG00000054523	p36.22	1	10210805	10381603	KIF1B
ENSG00000007923	p36.31	1	6634168	6701924	DNAJC11
ENSG00000187730	p36.33	1	2019329	2030758	GABRD
ENSG00000041988	p36.31	1	6624866	6635586	THAP3
ENSG00000127483	p36.12	1	20742679	20787323	HP1BP3
ENSG00000179163	p36.11	1	23845077	23868294	FUCA1
ENSG00000188060	p35.3	1	28592200	28595443	RAB42
ENSG00000120656	p35.3	1	28589323	28643085	TAF12
ENSG00000188822	p36.11	1	23870515	23913362	CNR2
ENSG00000189266	p36.11	1	23956839	23963462	PNRC2
ENSG00000162493	p36.21	1	13583465	13617957	PDPN
ENSG00000090686	p36.12	1	21678298	21783606	USP48
ENSG00000188529	p36.11	1	23964347	23980927	SRSF10
ENSG00000162419	p35.3	1	28668732	28719353	GMEB1
ENSG00000116731	p36.21	1	13700198	13825079	PRDM2
ENSG00000142661	p36.11	1	24056035	24112135	MYOM3
ENSG00000198492	p35.3	1	28736621	28769775	YTHDF2
ENSG00000187942	p36.12	1	21812265	21825225	LDLRAD2
ENSG00000142798	p36.12	1	21822244	21937310	HSPG2
ENSG00000116329	p35.3	1	28812142	28871267	OPRD1
ENSG00000171735	p36.31	1	6785454	7769706	CAMTA1
ENSG00000142677	p36.11	1	24119771	24143140	IL22RA1
ENSG00000189337	p36.21	1	13892792	15118043	KAZN
ENSG00000049245	p36.23	1	7771296	7781432	VAMP3
ENSG00000171729	p36.21	1	15152532	15220478	TMEM51
ENSG00000142657	p36.22	1	10398592	10420511	PGD
ENSG00000067606	p36.33	1	2050411	2185395	PRKCZ
ENSG00000185436	p36.11	1	24154168	24187959	IFNLR1
ENSG00000162585	p36.33	1	2184461	2212720	FAAP20
ENSG00000001460	p36.11	1	24356999	24416934	STPG1
ENSG00000001461	p36.11	1	24415802	24472976	NIPAL3
ENSG00000158055	p36.11	1	24319322	24364482	GRHL3
