Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC symbol
ENSG00000117036	ETS variant 3 [Source:HGNC Symbol;Acc:HGNC:3492]	1	157121191	157138474	ETV3
ENSG00000253831	ETS variant 3 like [Source:HGNC Symbol;Acc:HGNC:33834]	1	157092043	157112412	ETV3L
ENSG00000132694	Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]	1	156934840	157045370	ARHGEF11
ENSG00000160838	leucine rich repeat containing 71 [Source:HGNC Symbol;Acc:HGNC:26556]	1	156920632	156933094	LRRC71
ENSG00000187800	platelet endothelial aggregation receptor 1 [Source:HGNC Symbol;Acc:HGNC:33631]	1	156893698	156916434	PEAR1
ENSG00000198400	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	1	156815640	156881850	NTRK1
ENSG00000027644	insulin receptor related receptor [Source:HGNC Symbol;Acc:HGNC:6093]	1	156840063	156859117	INSRR
ENSG00000027869	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]	1	156806243	156816862	SH2D2A
ENSG00000143321	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	1	156742109	156766925	HDGF
ENSG00000143294	proline rich mitotic checkpoint control factor [Source:HGNC Symbol;Acc:HGNC:9343]	1	156750610	156800815	PRCC
ENSG00000143314	mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037]	1	156737303	156741590	MRPL24
ENSG00000143319	interferon stimulated exonuclease gene 20 like 2 [Source:HGNC Symbol;Acc:HGNC:25745]	1	156721891	156728799	ISG20L2
ENSG00000143303	ribosomal RNA adenine dimethylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24273]	1	156728442	156736960	RRNAD1
ENSG00000143320	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	1	156699606	156705816	CRABP2
ENSG00000132688	nestin [Source:HGNC Symbol;Acc:HGNC:7756]	1	156668763	156677407	NES
ENSG00000132692	brevican [Source:HGNC Symbol;Acc:HGNC:23059]	1	156641390	156659532	BCAN
ENSG00000132702	hyaluronan and proteoglycan link protein 2 [Source:HGNC Symbol;Acc:HGNC:17410]	1	156619331	156625725	HAPLN2
ENSG00000160818	G-patch domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25982]	1	156594487	156601496	GPATCH4
ENSG00000163382	NAD(P)HX epimerase [Source:HGNC Symbol;Acc:HGNC:18453]	1	156591762	156594299	NAXE
ENSG00000187862	tetratricopeptide repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:32348]	1	156579727	156586770	TTC24
ENSG00000183856	IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669]	1	156525405	156572604	IQGAP3
ENSG00000116604	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]	1	156463727	156500779	MEF2D
ENSG00000125462	chromosome 1 open reading frame 61 [Source:HGNC Symbol;Acc:HGNC:30780]	1	156404250	156456763	C1orf61
ENSG00000132677	Rh family B glycoprotein (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14572]	1	156369211	156385219	RHBG
ENSG00000163468	chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]	1	156308968	156367873	CCT3
ENSG00000163467	TSSK6 activating cochaperone [Source:HGNC Symbol;Acc:HGNC:30636]	1	156337314	156346995	TSACC
ENSG00000159423	aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]	1	18871430	18902724	ALDH4A1
ENSG00000189030	VHL like [Source:HGNC Symbol;Acc:HGNC:30666]	1	156298624	156299299	VHLL
ENSG00000163472	transmembrane protein 79 [Source:HGNC Symbol;Acc:HGNC:28196]	1	156282935	156293185	TMEM79
ENSG00000179002	taste 1 receptor member 2 [Source:HGNC Symbol;Acc:HGNC:14905]	1	18839599	18859682	TAS1R2
ENSG00000198715	glycosylated lysosomal membrane protein [Source:HGNC Symbol;Acc:HGNC:29436]	1	156290089	156295689	GLMP
ENSG00000198952	SMG5 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:24644]	1	156249224	156282825	SMG5
